Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
203134,7 N Mesa,Summit,Montrose County,Colorado,Moore Mesa,2554,38.4760179,-108.302677,None,10/13/78,null,null,null,null,8085,8
202940,A L Hill,Summit,Park County,Colorado,Eagle Rock,2832,39.248537,-105.6508519,None,10/13/78,null,null,null,null,8093,8
1947420,Abeyta Mesa,Summit,Rio Arriba County,New Mexico,Monero,2598,36.9919646,-106.8449301,None,1/10/02,null,null,null,null,35039,35
187290,Abrams Mountain,Summit,Ouray County,Colorado,Ironton,3902,37.962228,-107.6405406,None,10/13/78,null,null,null,null,8091,8
176032,Adam Mountain,Summit,Eagle County,Colorado,Fulford,3392,39.5046015,-106.7093635,None,10/13/78,null,null,null,null,8037,8
185389,Adobe Buttes,Summit,Delta County,Colorado,North Delta,1719,38.8362923,-108.0217895,None,10/13/78,null,null,null,null,8029,8
192193,Adobe Peak,Summit,Custer County,Colorado,Hardscrabble Mountain,3100,38.208481,-105.1921619,None,10/13/78,null,null,null,null,8027,8
186449,Afley Peak,Summit,Gunnison County,Colorado,Oh-be-joyful,3844,38.9210966,-107.1190124,None,10/13/78,null,null,null,null,8051,8
195265,Agate Mound,Summit,Cheyenne County,Colorado,Landsman Hill,1358,38.8783443,-102.5538726,None,10/13/78,null,null,null,null,8017,8
197924,Agate Mountain,Summit,Park County,Colorado,Agate Mountain,3049,38.7889777,-105.7883275,None,11/1/92,null,null,null,null,8093,8
189768,Agency Peak,Summit,Saguache County,Colorado,Sawtooth Mountain,3574,38.260552,-106.8686844,None,10/13/78,null,null,null,null,8109,8
190280,Agua Ramon Mountain,Summit,Rio Grande County,Colorado,South Fork East,3309,37.729628,-106.5889413,None,10/13/78,null,null,null,null,8105,8
201981,Aigner Mountain,Summit,Routt County,Colorado,Quaker Mountain,2525,40.6748829,-107.2395765,1/1/76,10/13/78,null,null,null,null,8107,8
187145,Ajax Peak,Summit,San Miguel County,Colorado,Telluride,3895,37.9285995,-107.7556066,None,10/13/78,null,null,null,null,8113,8
203491,Alamaditas Mesa,Summit,Conejos County,Colorado,La Jara Canyon,2987,37.1381953,-106.2877543,None,10/13/78,null,null,null,null,8021,8
178644,Alaska Hill,Summit,Boulder County,Colorado,Boulder,2117,40.0352559,-105.3662907,None,10/13/78,null,null,null,null,8013,8
1877459,Alberta Peak,Summit,Mineral County,Colorado,Wolf Creek Pass,3612,37.4560057,-106.7952026,None,8/17/00,null,null,null,null,8079,8
196026,Alexander Mesa,Summit,Las Animas County,Colorado,Plug Hat Ranch,1521,37.5554263,-103.154707,None,10/13/78,null,null,null,null,8071,8
202488,Alexander Mountain,Summit,Larimer County,Colorado,Drake,2155,40.4276406,-105.2513221,None,10/13/78,null,null,null,null,8069,8
170613,Allred Peak,Summit,Moffat County,Colorado,Limestone Hill,2433,40.5272634,-108.5556893,None,10/13/78,null,null,null,null,8081,8
193402,Almagre Mountain,Summit,Teller County,Colorado,Manitou Springs,3774,38.7911855,-104.9934459,1/1/64,10/13/78,null,null,null,null,8119,8
181882,Alpine Peak,Summit,Clear Creek County,Colorado,Georgetown,3519,39.6861222,-105.6818318,None,10/13/78,null,null,null,null,8019,8
188490,Alpine Plateau,Summit,Gunnison County,Colorado,Alpine Plateau,3509,38.2200973,-107.34806,None,10/13/78,null,null,null,null,8051,8
181436,Alps Hill,Summit,Gilpin County,Colorado,Central City,2971,39.7870552,-105.5421469,None,10/13/78,null,null,null,null,8047,8
181978,Alps Mountain,Summit,Clear Creek County,Colorado,Idaho Springs,3220,39.7277592,-105.59749,None,10/13/78,null,null,null,null,8019,8
188808,American Flag Mountain,Summit,Gunnison County,Colorado,Italian Creek,3875,38.9325133,-106.7182302,None,10/13/78,null,null,null,null,8051,8
2071320,American Peak,Summit,Hinsdale County,Colorado,Handies Peak,4204,37.8994199,-107.5124755,5/12/05,7/16/05,null,null,null,null,8053,8
188026,Amherst Mountain,Summit,La Plata County,Colorado,Columbine Pass,4017,37.565102,-107.5594069,None,10/13/78,null,null,null,null,8067,8
176808,Anchor Mountain,Summit,Dolores County,Colorado,Rico,3757,37.6963777,-108.0808972,None,10/13/78,null,null,null,null,8033,8
185957,Anderson Mesa,Summit,Montrose County,Colorado,Anderson Mesa,1924,38.1774851,-108.9256488,None,10/13/78,null,null,null,null,8085,8
170473,Anderson Mountain,Summit,Routt County,Colorado,Hahns Peak,2820,40.8264377,-106.9228163,None,10/13/78,null,null,null,null,8107,8
178164,Andrews Peak,Summit,Grand County,Colorado,Isolation Peak,3832,40.2440483,-105.7100395,None,10/13/78,null,null,null,null,8049,8
203185,Andys Mesa,Summit,Montrose County,Colorado,Anderson Mesa,1911,38.1633185,-108.8937035,None,10/13/78,null,null,null,null,8085,8
184178,Animas City Mountain,Summit,La Plata County,Colorado,Durango East,2492,37.3275468,-107.8693709,None,10/13/78,null,null,null,null,8067,8
187792,Animas Mountain,Summit,San Juan County,Colorado,Snowdon Peak,4198,37.6431394,-107.6291956,None,10/13/78,null,null,null,null,8111,8
192324,Antelope Butte,Summit,Custer County,Colorado,Rosita,2841,38.0585154,-105.2984709,None,10/13/78,null,null,null,null,8027,8
180594,Antelope Hill,Summit,Weld County,Colorado,Bracewell,1510,40.4919847,-104.8441045,None,10/13/78,null,null,null,null,8123,8
186499,Antelope Hill,Summit,Delta County,Colorado,Orchard City,1785,38.8263658,-107.9331098,None,10/13/78,null,null,null,null,8029,8
203787,Antelope Mesa,Summit,Crowley County,Colorado,Antelope Mesa,1477,38.374031,-103.9076756,None,10/13/78,null,null,null,null,8025,8
187901,Antelope Mountain,Summit,Mineral County,Colorado,Workman Creek,3097,37.7484534,-107.0503589,None,10/13/78,null,null,null,null,8079,8
192343,Antelope Mountain,Summit,Custer County,Colorado,Deer Peak,3274,38.0601323,-105.2353286,None,10/13/78,null,null,null,null,8027,8
186478,Anthracite Mesa,Summit,Gunnison County,Colorado,Oh-be-joyful,3430,38.9619902,-107.0454414,None,10/13/78,null,null,null,null,8051,8
189910,Antora Peak,Summit,Saguache County,Colorado,Bonanza,4041,38.3249764,-106.2181113,1/1/72,10/13/78,null,null,null,null,8109,8
187578,Anvil Mountain,Summit,San Juan County,Colorado,Silverton,3821,37.8377847,-107.7072735,None,10/13/78,null,null,null,null,8111,8
178431,Apache Peak,Summit,Grand County,Colorado,Monarch Lake,4097,40.058379,-105.6511043,1/1/61,10/13/78,null,null,null,null,8049,8
202502,Apiatan Mountain,Summit,Grand County,Colorado,Trail Mountain,3150,40.247549,-105.9429519,None,10/13/78,null,null,null,null,8049,8
899508,Archuleta Mesa,Summit,Archuleta County,Colorado,Edith,2807,37.0235106,-106.9631375,None,11/13/80,null,null,null,null,8007,8
182450,Argentine Peak,Summit,Summit County,Colorado,Montezuma,4185,39.6121037,-105.7772412,None,10/13/78,null,null,null,null,8117,8
178429,Arikaree Peak,Summit,Grand County,Colorado,Monarch Lake,4004,40.0466647,-105.6384548,1/1/14,10/13/78,null,null,null,null,8049,8
181533,Arizona Mountain,Summit,Gilpin County,Colorado,Central City,3149,39.8496141,-105.5808125,None,10/13/78,null,null,null,null,8047,8
175562,Arkansas Mountain,Summit,Gunnison County,Colorado,Snowmass Mountain,3613,39.0844046,-107.1114044,None,10/13/78,null,null,null,null,8051,8
203580,Arkansas Mountain,Summit,Custer County,Colorado,Rosita,3221,38.1190953,-105.2638966,None,10/13/78,null,null,null,null,8027,8
178640,Arkansas Mountain,Summit,Boulder County,Colorado,Boulder,2350,40.0297018,-105.3694276,None,10/13/78,null,null,null,null,8013,8
191737,Arkansas Mountain,Summit,Fremont County,Colorado,Arkansas Mountain,2824,38.4251512,-105.7242453,None,10/13/78,null,null,null,null,8043,8
187816,Arrow Peak,Summit,San Juan County,Colorado,Storm King Peak,4212,37.6928042,-107.6101359,None,10/13/78,null,null,null,null,8111,8
177866,Arrowhead,Summit,Larimer County,Colorado,McHenrys Peak,3847,40.2684098,-105.6504328,None,10/13/78,null,null,null,null,8069,8
184414,Arrowhead Hill,Summit,La Plata County,Colorado,Bayfield,2190,37.2340108,-107.6145559,None,10/13/78,null,null,null,null,8067,8
182458,Arrowhead Mountain,Summit,Park County,Colorado,Mount Evans,3419,39.5130367,-105.6913839,1/1/16,10/13/78,null,null,null,null,8093,8
203110,Ash Mesa,Summit,Montrose County,Colorado,Olathe,1684,38.5842418,-107.9978794,None,10/13/78,null,null,null,null,8085,8
180292,Ashcroft Mountain,Summit,Pitkin County,Colorado,Hayden Peak,3776,39.0428954,-106.7778047,None,10/13/78,null,null,null,null,8097,8
180059,Aspen Mountain,Summit,Pitkin County,Colorado,Aspen,3260,39.162268,-106.8269208,None,10/13/78,null,null,null,null,8097,8
185743,Atkinson Breaks,Summit,Montrose County,Colorado,Atkinson Creek,2052,38.4571206,-108.6758115,None,10/13/78,null,null,null,null,8085,8
203148,Atkinson Mesa,Summit,Montrose County,Colorado,Atkinson Creek,2124,38.4840296,-108.6858033,None,10/13/78,null,null,null,null,8085,8
1934911,Atlantic Peak,Summit,Summit County,Colorado,Copper Mountain,4217,39.4136091,-106.1257999,9/5/01,9/26/01,null,null,null,null,8117,8
186463,Augusta Mountain,Summit,Gunnison County,Colorado,Oh-be-joyful,3824,38.9722236,-107.1060624,None,10/13/78,null,null,null,null,8051,8
181489,Aunt Clara Brown Hill,Summit,Gilpin County,Colorado,Central City,2772,39.8077237,-105.525115,4/12/12,10/13/78,null,null,null,null,8047,8
193345,Austin Bluffs,Summit,El Paso County,Colorado,Pikeview,2048,38.8962383,-104.8024977,None,10/13/78,null,null,null,null,8041,8
